gap,band,Company,What they are,Kind of business,HQ,Country,Staff (company),Capacity MW,Hyperscale focus,People we have mapped,Ward searches,Already linked to,Website,LinkedIn,Where the name came from,company_id
no connection at all,A · Big and blank,Fermi America,NeoCloud / AI infra,Pure-play data center,"Amarillo, Texas, United States",United States,11 to 50,10400,Primary Focus,5,,,https://fermiamerica.com/,https://www.linkedin.com/company/fermi-america/,Data Centre Developer,fermi-america
no connection at all,A · Big and blank,O'Leary Ventures,NeoCloud / AI infra,Pure-play data center,"Miami, Florida, United States",United States,1 to 10,5568,,,,,http://www.olearyventures.com,https://www.linkedin.com/company/o'leary-ventures/,Data Centre Developer,o-leary-ventures
no connection at all,A · Big and blank,Scala,DC developer / operator,Pure-play data center,"Bellevue, Washington, United States",United States,11 to 50,5241,Primary Focus,150,,,https://scala.ai,https://www.linkedin.com/company/scala-ai/,Data Centre Developer,scala
no connection at all,A · Big and blank,Sailfish  Investors,NeoCloud / AI infra,Pure-play data center,"West Palm Beach, Florida, United States",United States,1 to 10,5197,,1,,,www.sailfishinvestors.com,https://www.linkedin.com/company/sailfishinvestors/,Data Centre Developer,sailfish-investors
no connection at all,A · Big and blank,Energy Abundance,NeoCloud / AI infra,Pure-play data center,"Houston, Texas, United States",United States,1 to 10,5000,Secondary Focus,3,,,https://www.energyabundance.com/,https://www.linkedin.com/company/energy-abundance/,Data Centre Developer,energy-abundance
no connection at all,A · Big and blank,Merlin Properties,DC developer / operator,Pure-play data center,"Madrid, Spain",Spain,201-500,4352,Secondary Focus,,,,https://www.merlinproperties.com/?utm_medium=social&utm_source=linkedin&utm_campaign=,https://www.linkedin.com/company/merlinproperties/,Data Centre Developer,merlin-properties
no connection at all,A · Big and blank,Elea Data Centers,DC developer / operator,Pure-play data center,"Rio De Janerio, Brazil",Brazil,51-200,3486,,2,,,https://www.eleadatacenters.com,https://www.linkedin.com/company/eleadatacenters/,Data Centre Developer,elea-data-centers
no connection at all,A · Big and blank,ILI Group,DC developer / operator,Pure-play data center,"Hamilton, United Kingdom",United Kingdom,1 to 10,3080,,2,,,http://www.ili-energy.com/,https://www.linkedin.com/company/ili-group/,Data Centre Developer,ili-group
no connection at all,A · Big and blank,Mistral AI,NeoCloud / AI infra,Pure-play data center,"Paris, France",France,201-500,2800,,,,,https://mistral.ai/,https://www.linkedin.com/company/mistralai/,Data Centre Developer,mistral-ai
no connection at all,A · Big and blank,TECfusions,DC developer / operator,Pure-play data center,"Clearwater, Florida, United States",United States,51-200,2700,,9,,,http://www.tecfusions.com,https://www.linkedin.com/company/tecfusions/,Data Centre Developer,tecfusions
no connection at all,A · Big and blank,Wallace Jackson LLC,DC developer / operator,Pure-play data center,,,,2668,,,,,,,Data Centre Developer,wallace-jackson-llc
no connection at all,A · Big and blank,CDC Data Centres,DC developer / operator,Pure-play data center,"Fyshwick, Australia",Australia,51-200,2617,,,,,https://cdc.com/,https://www.linkedin.com/company/cdc-data-centres/,Data Centre Developer,cdc-data-centres
no connection at all,A · Big and blank,Stock Farm Road,DC developer / operator,Pure-play data center,,,,2500,,,,,https://www.stockfarmroad.com/,,Data Centre Developer,stock-farm-road
no connection at all,A · Big and blank,AiOnX,NeoCloud / AI infra,Pure-play data center,,,,2430,Primary Focus,,,,,,Data Centre Developer,aionx
no connection at all,A · Big and blank,Tramell Crow Company,DC developer / operator,Pure-play data center,"Dallas, Texas, United States",United States,"501-1,000",2423,Secondary Focus,,,,http://www.trammellcrow.com,https://www.linkedin.com/company/trammell-crow-company/,Data Centre Developer,tramell-crow-company
no connection at all,A · Big and blank,Start Campus,DC developer / operator,Pure-play data center,"Lisbon, Portugal",Portugal,51-200,2191,Primary Focus,4,,,https://www.startcampus.pt,https://www.linkedin.com/company/start-campus/,Data Centre Developer,start-campus
no connection at all,A · Big and blank,DCI Indonesia,DC developer / operator,Pure-play data center,Jakarta,Jakarta,51-200,2017,,,,,http://www.dci-indonesia.com,https://www.linkedin.com/company/dci-indonesia/,Data Centre Developer,dci-indonesia
