company,function,title,count,people
Accenture,Pre-Construction & Cost,Lead Cost Manager,2,Eoin Sexton; Zackary Ernst
Accenture,Pre-Construction & Cost,Associate Director,1,Milan Bhana
Accenture,Pre-Construction & Cost,Associate Director | Mission Critical Electrical Estimating,1,Trey Walker
Accenture,Pre-Construction & Cost,Director of Estimating,1,Matt Highland
Accenture,Pre-Construction & Cost,Electrical Estimator,1,Kieran McHale
Accenture,Pre-Construction & Cost,Senior CSA Estimator,1,Nate McGhee
Accenture,Pre-Construction & Cost,Senior Electrical Estimator,1,Annie Koensgen
Accenture,Pre-Construction & Cost,Senior Mechanical Estimator,1,Chris Jago
Accenture,Pre-Construction & Cost,Senior MEP Cost Estimator - Hyperscale Data Center,1,ZG Huang
Accenture,Pre-Construction & Cost,Sr Electrical Estimator,1,Yogesh Kumar
Accenture I&CP,Pre-Construction & Cost,(former) Accociate Director,1,David DiBoni
ACCIONA,Development & Real Estate,Director Of Development,1,Brian Dunneback
ACCIONA,Unclassified,Director Generation Interconnection / Transmission North America: USA & Canada,1,Jose Villarreal Marimon
ACS Infrastructure,Development & Real Estate,"SVP, Data Center Land Acquisition and Development",1,Sourojit Dhar
Actis,"Legal, People & Support",Human Resources Director,1,Helen Etherington
Ada Infrastructure,Construction & Delivery,Construction Manager,1,Daniel Dew
Ada Infrastructure,Construction & Delivery,SVP Global Data Center Delivery,1,Antonio Colas
Ada Infrastructure,Construction & Delivery,Vice President Delivery Lead EMEA,1,Barry Dooley
Ada Infrastructure,Development & Real Estate,Development Manager - North America,1,Maria Wood
Ada Infrastructure,Development & Real Estate,Head of Ada Infrastructure,1,Adrian Olteanu
Ada Infrastructure,Development & Real Estate,IDC Business and Asset Development,1,Heidi Durrant
Ada Infrastructure,Development & Real Estate,Senior Associate - Site Selection,1,Eddie Aboukheir
Ada Infrastructure,Development & Real Estate,"VP, Global Site Selection Lead",1,Chris Warren
Ada Infrastructure,Development & Real Estate,"VP, North American Development Lead",1,Jennifer Trautman
Ada Infrastructure,Energy & Utilities,Head of Global Energy Infrastructure,1,Michael Landgraf
Ada Infrastructure,Sales & Leasing,Principal l Business Development l Data Center l Digital Infrastructure l APAC,1,Keisuke Manabe
Ada Infrastructure,Sales & Leasing,"Principal, Revenue and Product Lead, APAC",1,Ras Scollay
Ada Infrastructure,Sales & Leasing,"Product & Revenue Lead, Global GPU & AI",1,Tom Escher
Ada Infrastructure,Sales & Leasing,"VP, Revenue & Product",1,Shinsaku Yoshioka
Ada Infrastructure,"Strategy, Finance & Investment",Head of Product Strategy,1,Nathanael Liu
Ada Infrastructure,"Strategy, Finance & Investment",Vice President Strategy,1,Michael Ibrahim
Ada Infrastructure,Unclassified,Head of North America & CTO,1,Justin Thomas
Adapture Renewables,Development & Real Estate,Senior Development Manager,1,Luis Meneses Guiu
Adapture Renewables,Development & Real Estate,Senior Project Development Manager,1,Michael Nenon
Adapture Renewables,Development & Real Estate,Vice President of Development,1,Matt Press
Adapture Renewables,Development & Real Estate,VP / Head of Origination,1,Jesse Tippett
Adolfson & Peterson Construction,Construction & Delivery,Senior Project Manager,1,Jason Jones
Adolfson & Peterson Construction,Design & Engineering,Project Engineer,1,Spoorthy Venkatesh Prakash
Adolfson & Peterson Construction,Design & Engineering,Project Field Engineer,1,Grace Stone
Adolfson & Peterson Construction,Pre-Construction & Cost,Estimator,2,Jash Karani; Viktoria Emma C.
Adolfson & Peterson Construction,Pre-Construction & Cost,Preconstruction Manager,2,Austin Mouw; Dustin Carter
Adolfson & Peterson Construction,Pre-Construction & Cost,Chief Estimator,1,Tony Cingoranelli
Adolfson & Peterson Construction,Pre-Construction & Cost,Director of Estimating,1,Jordan Ricks
Adolfson & Peterson Construction,Pre-Construction & Cost,Director of Preconstruction,1,Chris Henry
Adolfson & Peterson Construction,Pre-Construction & Cost,Estimator II,1,Michael Nies
Adolfson & Peterson Construction,Pre-Construction & Cost,Senior Estimator,1,Larry Petron
Adolfson & Peterson Construction,Pre-Construction & Cost,Senior Preconstruction Manager,1,Tyler Woods
Adolfson & Peterson Construction,Pre-Construction & Cost,Vice President Preconstruction,1,Anthony Durst
AECOM,Construction & Delivery,Senior Project Manager,4,Curt Thompson; Darron Banks; Genoveva Fruet; Lukas Allred
AECOM,Construction & Delivery,Project Controls Manager,3,Brittni Parker - Lambert; Clay McKenna; Matt Boyers
AECOM,Construction & Delivery,Project Controls Analyst,2,Jordan Rothfeld; Sheila Wood
AECOM,Construction & Delivery,Project Controls Analyst III,2,Cristina Basulto; Tracy Nelson
AECOM,Construction & Delivery,Project Controls Specialist,2,Kathleen Rockwell; Megan Heugh
AECOM,Construction & Delivery,Sr. Project Manager,2,Dominik Nadolski; J. Preston Sewell
AECOM,Construction & Delivery,AVP/ Director of Project Controls,1,Subhasish Ghosh
AECOM,Construction & Delivery,Construction Project Manager,1,Aaron Flemming
AECOM,Construction & Delivery,Director of Project Services,1,Tyler Searle
AECOM,Construction & Delivery,Planner/Scheduler IV,1,Kal Hyyppa
AECOM,Construction & Delivery,Program Manager,1,Christopher Berilla
AECOM,Construction & Delivery,Project Control Analyst,1,Muhammad Najib
AECOM,Construction & Delivery,Project Control Lead,1,Mark Moore
AECOM,Construction & Delivery,Project Control Manager,1,Bhagyashree (Shree) Aurangabadkar
AECOM,Construction & Delivery,Project Controller,1,Carla Virtue
AECOM,Construction & Delivery,Project Controls Director,1,Stefan Ciuk
AECOM,Construction & Delivery,Project Controls Manager/Supervisor,1,Will Sexton
AECOM,Construction & Delivery,Project Controls Sr Director LATAM,1,Alejandro Taboada
AECOM,Construction & Delivery,Project Controls/Scheduler Specialist,1,Cyrus Nabaie
AECOM,Construction & Delivery,Project Leader - Aviation,1,Mark Summers
AECOM,Construction & Delivery,"Project Manager & Program Controls - Mission Critical, Global Program Management",1,Pooja Desai
AECOM,Construction & Delivery,Project Manager IV,1,Daniel Himes
AECOM,Construction & Delivery,"Project Manager, Environmental Planner",1,Jillian Betro
AECOM,Construction & Delivery,Regional Project Controls,1,Deanna Bomholt
AECOM,Construction & Delivery,"Senior Associate, Project Manager",1,Fernando Alvarez
AECOM,Construction & Delivery,"Senior Director, Project Controls",1,Joe Baccarella
AECOM,Construction & Delivery,Senior Project Controls Manager,1,Matiullah Kabir
AECOM,Construction & Delivery,Senior Project Controls Manager/senior Master scheduler,1,Ed Kucher
AECOM,Construction & Delivery,Sr Project Manager,1,Mike Visocky
AECOM,Construction & Delivery,Vice President / Senior Project Manager,1,Steve Leach
AECOM,Design & Engineering,Water Resources Engineer,5,Alaina Armel; Chasen F.; Connor Johnson; KC Robinson; Omer Karaketir
AECOM,Design & Engineering,Civil Engineer,2,Arnav Duarah; Steven Haugaard
AECOM,Design & Engineering,Civil Engineer I,2,Destiny Meyers; Jake Hefty
AECOM,Design & Engineering,Civil Engineer II,2,"Emily Gibson, PE; Iván Contreras Dalal"
AECOM,Design & Engineering,Senior Water/Wastewater Engineer,2,Alicia DuPree; Martin Garcia
AECOM,Design & Engineering,Water/Wastewater Engineer,2,Chris Kosto; Scott G.
AECOM,Design & Engineering,Civil Engineer V,1,Bhavana Pandit
AECOM,Design & Engineering,Civil Engineering Project Manager,1,Melissa Johnson
AECOM,Design & Engineering,Digital Systems Engineering Design Lead,1,Kevin Lau
AECOM,Design & Engineering,engineering hydrologist,1,Jim Burrell
AECOM,Design & Engineering,Lead Civil Engineer,1,Steven Holliday
AECOM,Design & Engineering,Mechanical Designer,1,Christy Chan
AECOM,Design & Engineering,principal water resources engineer,1,Dave Merritt
AECOM,Design & Engineering,Project Control Engineer,1,Hamzeh Nakhleh
AECOM,Design & Engineering,Project Manager - Sr. Civil/Site Engineer at AECOM,1,Kevin Westberry
AECOM,Design & Engineering,Senior Civil/Environmental Engineer,1,Jason A. Good
AECOM,Design & Engineering,Senior Water Resources Engineer,1,Joel Jones
AECOM,Design & Engineering,Water / Wastewater Engineer,1,Erika Bender
AECOM,Design & Engineering,Water and Wastewater Engineer,1,Susana Arvelo
AECOM,Development & Real Estate,Director of Development,1,Scott Preston
AECOM,Development & Real Estate,Land Development Lead (Data Centers),1,Adam Brixius
AECOM,Development & Real Estate,Municipal / Land Development Project Engineer,1,Vincent Wong
AECOM,Development & Real Estate,Real Estate Asset Manager -US West Region,1,Jonghoon Park
AECOM,Pre-Construction & Cost,"Associate Vice President - Program, Cost, Consultancy",1,Jimmy Logue
AECOM,Pre-Construction & Cost,Chief Cost Estimator,1,Ramesh Rangiah
AECOM,Pre-Construction & Cost,Director Of Preconstruction,1,Doug Joslyn
AECOM,Pre-Construction & Cost,Director Of Preconstruction MEP,1,Randy Arndt
AECOM,Pre-Construction & Cost,Preconstruction Director,1,Neldon Hadfield
AECOM,Pre-Construction & Cost,Preconstruction Manager,1,Brian Rhoades
AECOM,Pre-Construction & Cost,Preconstruction Senior Manager,1,Tom Soper
AECOM,Pre-Construction & Cost,Project Controls Cost Analyst IV,1,Dennis Bledsoe
AECOM,Pre-Construction & Cost,Regional Preconstruction Director,1,Taylor Borders
AECOM,Pre-Construction & Cost,Senior Estimator,1,Brad Koltak
AECOM,Pre-Construction & Cost,Senior Preconstruction Manager,1,Robert Kegan
AECOM,Sales & Leasing,Senior Project Manager & Business Development,1,Russ Golightly
AECOM,"Strategy, Finance & Investment",Site Strategy Manager - Data Centers,1,Randall Johnson
AECOM,"Strategy, Finance & Investment",Site Strategy Project Manager - Data Centers,1,Mike Vittiglio
AECOM,Unclassified,Vice President,3,Adrian Grimes; Darren Vican; Sahar Hendabadi
AECOM,Unclassified,Associate Director,1,Huaijen Hsu
AECOM,Unclassified,Civil Group Manager,1,Kyle McTavish
AECOM,Unclassified,Civil Manager,1,Brian Fisher
AECOM,Unclassified,Deputy Department Manager - US West Water W/WW CO UT AZ NM,1,Evon Harmon
AECOM,Unclassified,Regional Director,1,Ciaran McArdle
AECOM,Unclassified,Regional Scheduling Director,1,Michael Lewis
AECOM,Unclassified,Senior Manager,1,Jeff Thomas
AECOM,Unclassified,"Senior Vice President, Global Head of Data Centers and Technology",1,Mario Sawaya
AECOM,Unclassified,Telecommunication Specialist,1,Harry Bi
AECOM,Unclassified,Vice President Mission Critical,1,Pete Melucci
AECOM,Unclassified,"Water Resources State Leader (Colorado), US West Region",1,Tony Tran
Aegis Project Controls,Construction & Delivery,Senior Project Controls Manager,1,Dhiraj Krishnamurthi
AES Clean Energy,Construction & Delivery,"Director, Field Operations",1,Brett Hastings
AES Clean Energy,Construction & Delivery,Project Developer,1,Justin Succo
AES Clean Energy,Construction & Delivery,"Vice President, Hydrogen Projects",1,Emily Burks
AES Clean Energy,Design & Engineering,Civil Engineering Manager,1,Robert Osterhoudt
AES Clean Energy,Design & Engineering,"Interconnection Engineering, Manager",1,Jazmin Pierce
AES Clean Energy,Design & Engineering,Project Engineer,1,Ian Berg
AES Clean Energy,Design & Engineering,Senior Engineer - Interconnection,1,Atul Viswanath
AES Clean Energy,Development & Real Estate,Development Manager,3,Daniel Postal; Ella Walker; Mike Dow
AES Clean Energy,Development & Real Estate,Senior Development Manager,3,Greg Creswell; Rob Gardner; Zachary Pierce
AES Clean Energy,Development & Real Estate,Land Acquisition Manager,2,T. Ryan Walsh; Tyler Ross
AES Clean Energy,Development & Real Estate,"Senior Director, Development",2,Michael Hutson; Szewan Lam
AES Clean Energy,Development & Real Estate,Commercial - US East Origination,1,Claude Guinchard
AES Clean Energy,Development & Real Estate,"Development Director, Az & Nv",1,Kellie Pitera
AES Clean Energy,Development & Real Estate,Director Of Land Acquisition,1,Derrick Worden
AES Clean Energy,Development & Real Estate,Director of Project Development,1,Matteo Conti
AES Clean Energy,Development & Real Estate,"Director, Development",1,Jesse Cutaia
AES Clean Energy,Development & Real Estate,"Director, Mergers & Acquisitions",1,Alvaro Valencia
AES Clean Energy,Development & Real Estate,"Director, Origination",1,Chris Caswell
AES Clean Energy,Development & Real Estate,Land Acquisition Project Manger,1,Phillip Smith
AES Clean Energy,Development & Real Estate,"Manager, Origination",1,Rachel Brinks
AES Clean Energy,Development & Real Estate,"Manager, Project Development",1,John Panther
AES Clean Energy,Development & Real Estate,"Manager, Wind Development",1,Scott Schutte
AES Clean Energy,Development & Real Estate,Permitting Manager (PJM/SERC),1,"Jenn D'Augustine, PWS"
AES Clean Energy,Development & Real Estate,Project Development Manager - SPP & ERCOT,1,Kat Kelly
AES Clean Energy,Development & Real Estate,Project Manager - Land Acquisition,1,Mason Aulsbrook
AES Clean Energy,Development & Real Estate,"Project Manager, Land Acquisition",1,Harry Lott
AES Clean Energy,Development & Real Estate,"Project Manager, Permitting Transition",1,Sarah (Lindemann) Richardson
AES Clean Energy,Development & Real Estate,Real Estate Project Manager,1,Tony Patterson
AES Clean Energy,Development & Real Estate,Senior Associate - Development,1,Sharad Mukerji
AES Clean Energy,Development & Real Estate,Senior Director - Development,1,Ben Saunders
AES Clean Energy,Development & Real Estate,Senior Director Of Development,1,Joshua Baird
AES Clean Energy,Development & Real Estate,"Senior Director, Project Development",1,Benjamin W. Sufrin
AES Clean Energy,Development & Real Estate,"Senior Manager, Engineering and Development",1,Hadis Moradi
AES Clean Energy,Development & Real Estate,Senior Project Development Manager,1,Mark Randall
AES Clean Energy,Development & Real Estate,"Senior Real Estate Manager, NY/NE Region",1,Natalie LeBlanc Cunningham
AES Clean Energy,Development & Real Estate,Sr. Manager Land Acquisition,1,Gazi A.
AES Clean Energy,Development & Real Estate,Strategic Development Manager,1,Skye Mooney
AES Clean Energy,Development & Real Estate,"Vice President, Development",1,Chad Horton
