function,title,count,companies,used_at
Construction & Delivery,Director of Construction,23,13,CloudHQ; CyrusOne; DataBank; Digital Realty; Equinix; Iron Mountian; Microsoft; NTT; NTT Global Data Centre Americas; Serverfarm; STACK Infrastructure; Switch; Vantage
Construction & Delivery,Senior Construction Manager,23,8,Cloud HQ; Compass Datacenters; Corscale Data Centers; CyrusOne; Digital Realty; Equinix; NTT Global Data Centre Americas; Vantage
Construction & Delivery,Construction Manager,22,5,Compass Datacenters; Crusoe; Equinix; NTT Global Data Centre; Vantage
Construction & Delivery,Construction Project Manager,11,7,CyrusOne; Digital Realty; Equinix; NTT; NTT Global Data Centre; Prime Data Centers; T5 Data Centers
Construction & Delivery,Project Manager,11,11,AWS; Black & Veatch; DPR Construction; Harris; Jacobs; Layton Construction; Level 10 Construction; Prime Data Centers; Rosendin; Swinerton; T5 Data Centers
Construction & Delivery,Vice President of Construction,10,9,CloudHQ; CoreSite; CyrusOne; DataSite; PointOne; Prime Data Centers; Skybox Datacenters; T5 Data Centers; Vantage
Construction & Delivery,"Director, Construction",8,3,Equinix; STACK Infrastructure; Vantage
Construction & Delivery,Senior Construction Project Manager,8,6,CyrusOne; Digital Realty; Equinix; NTT Global Data Centre; Prime Data Centers; Vantage
Construction & Delivery,Senior Project Manager,8,5,Clune Construction; Diode Ventures | A Black & Veatch Company; Iron Mountian; Webcor Builders; Whiting-Turner Contracting
Construction & Delivery,"Vice President, Construction",6,6,EdgeCore Digital Infrastructure; NTT; Skybox Datacenters; STACK Infrastructure; Stream Data Centers; Vantage
Construction & Delivery,Project Controls Manager,4,4,DPR Construction; MGAC; RES; The Weitz Company
Construction & Delivery,Project Executive,4,4,DPR Construction; Kiewit; LIG; Rosendin
Construction & Delivery,Program Manager,3,2,Google; Microsoft
Construction & Delivery,"Senior Director, Construction",3,1,Vantage
Construction & Delivery,"Director, Construction, NA",2,1,Vantage
Construction & Delivery,"Director, Construction, North America",2,1,Vantage
Construction & Delivery,"Director, Data Center Construction",2,2,Fleet Data Centers; McGough Construction
Construction & Delivery,Principal Construction Project Manager,2,1,NTT Global Data Centre Americas
Construction & Delivery,Project Control Manager,2,2,Burr Computer Environments; Turner Construction
Construction & Delivery,Senior Director of Construction,2,1,Vantage
Construction & Delivery,"Senior Manager, Construction Project Management",2,1,Equinix
Construction & Delivery,Senior Project Controls Manager,2,2,Aegis Project Controls; MGAC
Construction & Delivery,Sr. Construction Manager,2,2,Digital Realty; Vantage
Construction & Delivery,SVP Construction,2,2,CyrusOne; Keel Infrastructure
Construction & Delivery,VP of Construction,2,2,Switch; T5 Data Centers
Construction & Delivery,(former) Business Project Specialist,1,1,AMAX
Construction & Delivery,Area Project Controls Lead,1,1,Meta
Construction & Delivery,Area Project Controls Lead — AI Infrastructure,1,1,Meta
Construction & Delivery,Campus Director,1,1,Applied Digital
Construction & Delivery,Campus Project Controls Manager,1,1,Crusoe
Construction & Delivery,"Chief Delivery Officer, NA",1,1,Vantage
Construction & Delivery,Construction Director,1,1,Digital Realty
Construction & Delivery,Construction Executive,1,1,Turner Construction
Construction & Delivery,Construction Executive - Multi-Key,1,1,WCG Construction
Construction & Delivery,Construction Management,1,1,Vantage
Construction & Delivery,Construction Manager Digital Realty,1,1,Digital Realty
Construction & Delivery,Construction Services Procurement Manager,1,1,QTS Data Centers
Construction & Delivery,"Construction, Project Management - East",1,1,Digital Realty
Construction & Delivery,CVP Global EPC,1,1,Microsoft
Construction & Delivery,Data Center Construction Manager,1,1,Yondr
Construction & Delivery,Director Data Center Construction,1,1,Cyxtera Technologies
Construction & Delivery,Director of Construction - America's,1,1,Yondr Data Centers
Construction & Delivery,Director of Construction - East,1,1,T5 Data Centers
Construction & Delivery,"Director of Construction - NC,PA,NJ,NY",1,1,Digital Realty
Construction & Delivery,Director of Construction - Northeast Region,1,1,Equinix
Construction & Delivery,Director of Construction Integration,1,1,Switch
Construction & Delivery,Director of Construction Management,1,1,Provident Data Centers
Construction & Delivery,Director of Construction NA / Production and Execution,1,1,Vantage
Construction & Delivery,Director of Construction North America,1,1,Vantage
Construction & Delivery,Director of Data Center Infrastructure Management - Delivery,1,1,QTS Data Centers
Construction & Delivery,Director of Site Construction,1,1,Yondr
Construction & Delivery,Director of TFO Construction,1,1,Prime Data Centers
Construction & Delivery,Director Pre- Construction Services,1,1,Tract
Construction & Delivery,Director Project Controls,1,1,Nscale
Construction & Delivery,"Director, BTS Construction",1,1,STACK Infrastructure
Construction & Delivery,"Director, Construction Project Management (AMER)",1,1,Equinix
Construction & Delivery,"Director, DC",1,1,AMD
Construction & Delivery,"Director, Project Controls",1,1,Vantage
Construction & Delivery,"Director, Project Delivery",1,1,QTS Data Centers
Construction & Delivery,"Director, Project Management - Construction",1,1,Serverfarm
Construction & Delivery,East Area Director - Advanced Technologies & Life Sciences | Data Center Delivery,1,1,Fluor
Construction & Delivery,"Executive Vice President, Construction Services",1,1,T5 Data Centers
Construction & Delivery,Geographical Project Controls Manager,1,1,Meta
Construction & Delivery,"Global Senior Vice President Construction, Enginnering & Supply Chain",1,1,NTT
Construction & Delivery,Head of Construction,1,1,STACK Infrastructure
Construction & Delivery,Head of Data Center Construction for Americas,1,1,Digital Realty
Construction & Delivery,Head of Data Center Delivery,1,1,OpenAI
Construction & Delivery,IT Infrastructure Project Manager of Construction,1,1,CyrusOne
Construction & Delivery,Large Projects - Project Controls Leader,1,1,DPR Construction
Construction & Delivery,"Manager, Project Controls NRC",1,1,QTS Data Centers
Construction & Delivery,"Manager, Project Manager - Community Engagement",1,1,QTS Data Centers
Construction & Delivery,Market Director of Data Center Construction,1,1,STACK Infrastructure
Construction & Delivery,"Market Director, Construction",1,1,STACK Infrastructure
Construction & Delivery,Mgr. of Construction,1,1,AWS
Construction & Delivery,Mission Critical Consultant,1,1,Insight Global
Construction & Delivery,Pre Construction Managaer,1,1,Weifield Group Contracting
Construction & Delivery,Principal Construction Manager,1,1,Vantage
Construction & Delivery,"Principal PM, AGC Data Center Construction",1,1,Microsoft
Construction & Delivery,Principal Program Manager,1,1,Microsoft
Construction & Delivery,Procurement Manager - Key Bridge Rebuild,1,1,Kiewit
Construction & Delivery,Project and Program Manager,1,1,Equinix
Construction & Delivery,Project Control - Data Center Delivery,1,1,Google
Construction & Delivery,Project Controls Lead,1,1,Hilcorp
Construction & Delivery,Project Coordinator,1,1,Brodie Group
Construction & Delivery,Project Director,1,1,JE Dunn Construction
Construction & Delivery,Project Manager-Data Center Construction,1,1,Serverfarm
Construction & Delivery,Projects Control Manager,1,1,Prime Data Centers
Construction & Delivery,Regional Construction Director,1,1,Prime Data Centers
Construction & Delivery,Senior Construction Manager - mission critical,1,1,Vantage
Construction & Delivery,Senior Delivery Manager,1,1,Compass Datacenters
Construction & Delivery,Senior Director Data Center Construction,1,1,Oracle
Construction & Delivery,"Senior Director of Construction, AMER",1,1,Equinix
Construction & Delivery,Senior Director of Projects,1,1,DAMAC Digital
Construction & Delivery,Senior Director | Regional Construction,1,1,Equinix
Construction & Delivery,"Senior Director, Construction - North America",1,1,Vantage
Construction & Delivery,"Senior Director, Construction Management",1,1,Aligned Data Centers
Construction & Delivery,"Senior Director, Construction Management EMEA",1,1,Equinix
Construction & Delivery,"Senior Director, Construction Project Management Americas",1,1,Equinix
Construction & Delivery,"Senior Director, Construction, North America",1,1,Vantage
Construction & Delivery,"Senior Director, Subregional Construction Lead",1,1,Digital Realty
Construction & Delivery,Senior Manager of Construction,1,1,Equinix
Construction & Delivery,"Senior Permit Program Manager, AWS Data Center Supply Solutions",1,1,AWS
Construction & Delivery,Senior Program Manager,1,1,Microsoft
Construction & Delivery,Senior Project Controls,1,1,Tesla
Construction & Delivery,Senior Project Controls Manager/senior Master scheduler,1,1,AECOM
Construction & Delivery,Senior Project Manager | Data Center Construction & Delivery,1,1,STACK Infrastructure
Construction & Delivery,"Senior Project Manager, Construction",1,1,Digital Realty
Construction & Delivery,"Senior Project Manager, Pre Construction",1,1,Crusoe
Construction & Delivery,"Senior TPM, ML/AI Infrastructure Delivery",1,1,Google
Construction & Delivery,Senior Vice President - Data Center Construction,1,1,Related Digital
Construction & Delivery,Senior Vice President - Service Delivery,1,1,ServicePoint IT
Construction & Delivery,"Senior Vice President, Construction",1,1,Aligned Data Centers
Construction & Delivery,"Senior Vice President, Data Center Campus Delivery",1,1,STACK Infrastructure
Construction & Delivery,Sr Construction Manager,1,1,Compass Datacenters
Construction & Delivery,Sr Construction Project Manager,1,1,STACK Infrastructure
Construction & Delivery,Sr Director Construction / TFO,1,1,Prime Data Centers
Construction & Delivery,Sr Program Manager,1,1,Google
Construction & Delivery,"Sr, Director of Construction- Global Data Center Americas",1,1,NTT
Construction & Delivery,Sr. Construction Project Manager,1,1,DataBank
Construction & Delivery,"Sr. Director, Construction",1,1,CyrusOne
Construction & Delivery,"Sr. Director, Construction NA",1,1,Vantage
Construction & Delivery,"Sr. Project Director, Construction and Delivery",1,1,Corscale Data Centers
Construction & Delivery,Sr. Regional Construction Director,1,1,Prime Data Centers
Construction & Delivery,Strategic Lead - Sr Program Manager,1,1,Google
Construction & Delivery,Strategic Sourcing - Data Centers Construction,1,1,Google
Construction & Delivery,Sustainable Construction Lead - Data Centers,1,1,Google
Construction & Delivery,SVP Construction Procurement,1,1,Applied Digital
Construction & Delivery,"SVP, Data Center Construction",1,1,DC BLOX
Construction & Delivery,"SVP, Data Centers",1,1,Oracle
Construction & Delivery,"SVP, Global Data Center Programs",1,1,Nscale
Construction & Delivery,"SVP, Head of Construction",1,1,DartPoints
Construction & Delivery,Vice President,1,1,AFCOM Florida
Construction & Delivery,Vice President - Construction,1,1,CyrusOne
Construction & Delivery,Vice President of AI GigaScale Data Center Delivery,1,1,Oracle
Construction & Delivery,Vice President of Construction NA,1,1,Nscale
Construction & Delivery,Vice President of Construction North America,1,1,Vantage
Construction & Delivery,Vice President of Construction Planning,1,1,CentersquareDC
Construction & Delivery,"Vice President of Construction, EHS",1,1,T5 Data Centers
Construction & Delivery,"Vice President of Construction, NA",1,1,Vantage
Construction & Delivery,Vice President of Project Delivery,1,1,Serverfarm
Construction & Delivery,Vice President Strategic Construction Initiatives,1,1,Vantage
Construction & Delivery,Vice President | Construction,1,1,DataBank
Construction & Delivery,"Vice President, Construction (North America) at Vantage Data Centers",1,1,Vantage
Construction & Delivery,"Vice President, Construction - Special Projects",1,1,STACK Infrastructure
Construction & Delivery,"Vice President, Construction NA",1,1,Vantage
Construction & Delivery,"Vice President, Construction Supply Chain/ Project Controls",1,1,NTT
Construction & Delivery,"Vice President, Construction, NA",1,1,Vantage
Construction & Delivery,"Vice President, Data Center Construction",1,1,SDC Capital Partners
Construction & Delivery,"Vice President, Global Construction",1,1,NTT
Construction & Delivery,"Vice President, Platform Execution",1,1,Aligned Data Centers
Construction & Delivery,VP Construction,1,1,STACK Infrastructure
Construction & Delivery,VP of Construction BTS- Stack Infrastructure,1,1,STACK Infrastructure
Construction & Delivery,"VP, Capacity & Delivery",1,1,Sabey Data Centers
Construction & Delivery,"VP, Construction US",1,1,DayOne
Design & Engineering,"(former) Senior Director, Design, Engineering & Construction",1,1,Meta
Design & Engineering,"Executive Vice President - Engineering, Construction & Operations",1,1,Fleet Data Centers
Design & Engineering,Google Submarine Networks | Global Design & Engineering Lead,1,1,Google
Design & Engineering,MEP,1,1,DPR Construction
Design & Engineering,"Project Engineer, Data Center Construction",1,1,AWS
Design & Engineering,Senior Design Phase Manager,1,1,Morteson
Design & Engineering,Senior Design Phase Manager II,1,1,MA Mortenson
Design & Engineering,Senior Director Global Design and Construction,1,1,Equinix
Design & Engineering,"Senior Director, Design & Construction North America",1,1,Iron Mountian
Design & Engineering,"Senior Director, Global Operations Design and Construction",1,1,Iron Mountian
Design & Engineering,Senior Managet - Global design and construction,1,1,Equinix
Design & Engineering,Senior Project Manager-Design & Construction,1,1,AVAIO Digital Partners
Design & Engineering,"Senior Technical Program Manager, Datacenter Delivery",1,1,Microsoft
Design & Engineering,Senior Vice President - Design & Construction,1,1,Skybox Datacenters
Design & Engineering,"Senior Vice President - Head of Global Design, Engineering and Construction",1,1,Digital Realty
Design & Engineering,Senior Vice President and Head of Design and Construction for Global Data Centers,1,1,Iron Mountian
Design & Engineering,"Senior Vice President, Design & Construction",1,1,Ncale
Design & Engineering,"Senior Vice President, Design and Construction",1,1,EdgeCore Digital Infrastructure
Design & Engineering,"Senior Vice President, Global Design & Construction",1,1,Equinix
Design & Engineering,"Sr. Vice President, Design & Construction",1,1,Cologix
Design & Engineering,Sr.Design Phase Manager,1,1,M A Mortenson
Design & Engineering,SVP Hyperscale Design and Construction,1,1,Switch
Design & Engineering,SVP of Solutions Engineering,1,1,Switch
Design & Engineering,Vice President Design & Construction,1,1,Iron Mountian
Design & Engineering,Vice President Design & Construction North America,1,1,Iron Mountian
Design & Engineering,"Vice President, Design Engineering & Construction - Americas",1,1,Digital Realty
Design & Engineering,VP Data Center Engineering and Construction,1,1,Flexential
Design & Engineering,VP Design & Construction,1,1,Aligned Data Centers
Design & Engineering,"VP of Design, Design & Construction",1,1,EdgeCore Digital Infrastructure
Design & Engineering,"VP, Data Center Engineering",1,1,Keel Infrastructure
Development & Real Estate,Director of Development,15,8,Edged; Equinix; PointOne; QTS Data Centers; RadiusDC; Rowan Digital Infrastructure; STACK Infrastructure; Sun2o Partners
Development & Real Estate,Development Manager,12,11,AWS; Beale; CloudHQ; Corscale Data Centers; Edgemoor Infrastructure & Real Estate; Greenlight Data Centers; Meta; TA Digital Group; Tract; Vantage; Yondr
Development & Real Estate,Strategic Negotiator,10,1,Google
Development & Real Estate,"Vice President, Development",10,5,Beale; QTS Data Centers; Related Digital; STACK Infrastructure; Switch
Development & Real Estate,"Director, Development",9,5,Beale; CloudHQ; QTS Data Centers; STACK Infrastructure; Tract
Development & Real Estate,Vice President of Development,9,7,CleanArc Data Centers; Cloverleaf Infrastructure; Compass Datacenters; Core Scientific; Corscale Data Centers; DAMAC Digital; QTS Data Centers
Development & Real Estate,Development Director,8,8,Colt Data Centre Services; Global Technical Realty; Kauri CAB Digital Infrastructure; Nscale; Pure Data Centres; Quantum Switch; STACK Infrastructure; Yondr
Development & Real Estate,Real Estate Development Manager,8,2,AWS; Microsoft
Development & Real Estate,Site Acquisition Manager,8,4,AWS; Edged; Microsoft; TikTok
Development & Real Estate,Development Project Manager,7,2,CyrusOne; QTS Data Centers
Development & Real Estate,Senior Development Project Manager,7,1,QTS Data Centers
Development & Real Estate,"Senior Vice President, Development",5,2,QTS Data Centers; STACK Infrastructure
Development & Real Estate,Senior Director of Development,4,4,PointOne; QTS Data Centers; Rowan Digital Infrastructure; Tract
Development & Real Estate,"Senior Director, Development",4,4,Beale; CloudHQ; Google; Tract
Development & Real Estate,Senior Site Acquisition Manager,4,3,AWS; CyrusOne; Microsoft
Development & Real Estate,Data Center Development Manager,3,1,Meta
Development & Real Estate,"Director, Data Center Development & Construction",3,1,PowerHouse Data Centers
Development & Real Estate,"Director, Pre-Development",3,1,QTS Data Centers
Development & Real Estate,Pre-Development Project Manager,3,1,QTS Data Centers
Development & Real Estate,Senior Project Development Manager,3,2,Cloverleaf Infrastructure; QTS Data Centers
Development & Real Estate,Senior Real Estate Development Manager,3,1,AWS
Development & Real Estate,Site Acquisition Director,3,1,Microsoft
Development & Real Estate,Sr. Real Estate Development Manager,3,1,AWS
Development & Real Estate,Vice President,3,3,DataBank; T5 Data Centers; Tract
Development & Real Estate,Data Center Acquisitions,2,2,NVIDIA; Oracle
Development & Real Estate,Data Center Site Selection Manager,2,1,Meta
Development & Real Estate,Development Director EMEA,2,1,Colt Data Centre Services
Development & Real Estate,Director of Entitlements,2,1,Tract
Development & Real Estate,Director of Land Acquisition,2,2,DAMAC Digital; Edged
Development & Real Estate,Executive Vice President,2,2,QTS Data Centers; T5 Data Centers
Development & Real Estate,Executive Vice President Development,2,2,CloudHQ; Switch
Development & Real Estate,Head of Site Acquisition,2,2,Global Technical Realty; hscale
Development & Real Estate,"Investment Associate, Land Strategy",2,1,Tract
Development & Real Estate,Land Development and Permitting Program Manager,2,1,Microsoft
Development & Real Estate,Land Development Manager,2,1,Microsoft
Development & Real Estate,Principal Development Manager,2,1,Cloverleaf Infrastructure
Development & Real Estate,Project Development Manager,2,1,Stream Data Centers
Development & Real Estate,Real Estate Manager,2,1,EdgeConneX
Development & Real Estate,Senior Development Manager,2,2,Beale; Vantage
Development & Real Estate,Senior Real Estate Transaction Manager,2,1,NTT
Development & Real Estate,Senior Vice President,2,2,Corscale Data Centers; Digital Realty
Development & Real Estate,Sr Development Project Manager,2,1,QTS Data Centers
Development & Real Estate,"Sr Real Estate Development Manager, Data Center Supply Solutions",2,1,AWS
Development & Real Estate,"Strategic Negotiator, Data Center Site Acquisition & Development",2,1,Google
Development & Real Estate,SVP Land Development,2,2,Compass Datacenters; KRIOS Infrastructure
Development & Real Estate,"Vice President, Acquisitions",2,2,Colovore; fifteenfortyseven Critical Systems Realty (1547)
Development & Real Estate,(former) Chief Development Officer (CDO),1,1,Amp Z
