person,title,to_name,function,start,from_name,from_title
Maria Poyer,"Principal, Strategic Programs & Global Expansion",CoreWeave,Development & Real Estate,9/2026,Verrus,Head of Acquisitions
Brian Rouse,SVP Land Development,KRIOS Infrastructure,Development & Real Estate,8/2026,Microsoft,EMEA Data Center Land Development And Permitting Director
Colette M. Coleman,"Vice President, Program Development",Aligned Data Centers,Development & Real Estate,8/2026,STACK Infrastructure,Vice President of Development
Gaurang Desai,"Manager, Energy & Power Transaction Management",CoreWeave,Energy & Utilities,8/2026,Central Coast Community Energy,"Manager, Energy Market Operations, Power Services"
Cecil St. Pierre,Director - Data Center Strategy & Site Selection,Together AI,Development & Real Estate,8/2026,Vultr,Director - Site Selection
Carl von Hessen,Vice President Business Developmemt,maincubes Secure Datacenters,Sales & Leasing,8/2026,AWS,"Senior Acquisition & Investment Lead, Data Centers Supply Strategy"
Adam Bradshaw,Business Development Director,Salute EMEA,Sales & Leasing,8/2026,Compass Datacenters,"Director, Customer Success   Canada & Europe / Directeur, Réussite Des Clients"
Michael Dada,Site Selection & Colocation,Nebius,Development & Real Estate,8/2026,Freelance,Data Centre Consultant
Patrick Bell,Director,QTS Data Centers,Development & Real Estate,8/2026,PowerHouse Data Centers,Senior Director of Acquisitions
Kaanthi Sundaravadanam,Senior Cost Manager/Consultant - Data Centers,Turner & Townsend,Pre-Construction & Cost,8/2026,,
Sridhar Avva,Strategic Lead - Sr Program Manager,Google,Construction & Delivery,8/2026,Meta,Area Project Controls Manager - Hyperion
Hank Hundhausen,Preconstruction Manager,Worldwide Mission Critical,Pre-Construction & Cost,8/2026,Structure Tone Southwest,Director of Preconstruction
Steven Scott,Preconstruction Manager,Vantage,Pre-Construction & Cost,8/2026,AWS,Pre Construction Manager
J. Daniel Smith,Associate Director,Turner & Townsend,Pre-Construction & Cost,8/2026,,
Derek N,Associate Director Estimating,Turner & Townsend,Pre-Construction & Cost,7/2026,T5 Data Centers,Preconstruction Manager
Phil Skinner,Senior Vice President - Data Center Construction,Related Digital,Construction & Delivery,7/2026,STACK Infrastructure,Senior Vice President - Data Center Construction
Anjamarie Gaztambide,"Director of Preconstruction , AMER",Yondr,Pre-Construction & Cost,7/2026,,
Kayla Goldstein,Estimator,Mortenson,Pre-Construction & Cost,7/2026,Taylor Kohrs,Estimator
Andreas Paduch,Managing Director - Europe,CyrusOne,Executive leadership,7/2026,CBRE,Head Of Contracted Accounts Uk
James Green,Senior Vice President of Sales,Green Mountain Global Data Centers,Sales & Leasing,7/2026,Vantage,"Senior Director, Sales (EMEA)"
Luis Soto,Senior Commercial Manager,Equinix,Pre-Construction & Cost,7/2026,,
Mitchell Jakovljevic,Senior Preconstruction Manager,CloudHQ,Pre-Construction & Cost,7/2026,Google,NASA Pre-construction Planning Lead
Saverio Carpino,"Senior Pre-Development Project Manager, EMEA",QTS Data Centers,Development & Real Estate,7/2026,Vantage,"Development Manager, New Site Development, EMEA"
Michael Nudelman,Chief Development Officer,IREN,Executive leadership,7/2026,Beale,Chief Development Officer
Tomasz N.,Senior Construction Manager,Vantage,Construction & Delivery,7/2026,,
Tom Edwards,"VP, Capacity & Delivery",Sabey Data Centers,Construction & Delivery,7/2026,,
Elspeth Lunt,Development Director,Nscale,Development & Real Estate,7/2026,Vantage,"Associate Development Director, UK&I"
Miguel Sequera,Head of Data Centers,Cerebras,Sales & Leasing,7/2026,Vantage,Vice President of Strategic Sales
John Jeske,Sr. M&E Preconstruction Manager (Mission Critical),Fortis Construction,Pre-Construction & Cost,7/2026,Clayco,Sr. Electrical Preconstruction Manager (Mission Critical)
Steve Russell,Director of Pre-Development - Central Region,QTS Data Centers,Development & Real Estate,7/2026,PointOne,Director of Development
Lyndsey Crowe,Electrical and Data Center Consultant,Turner & Townsend,Design & Engineering,7/2026,,
Julia Gerber,Preconstruction Manager,CoreWeave,Pre-Construction & Cost,7/2026,,
Greg Mikulecky,Site Selection and Development,Nscale,Development & Real Estate,6/2026,AmpZ,"Vice President, New Site Development"
Farhana Hussain,Director,STACK Infrastructure,Sales & Leasing,6/2026,P3p Partners,Senior Planning and Development Manager
Devin Hall,"Director, Construction",STACK Infrastructure,Construction & Delivery,6/2026,,
Mitra Zare,Director Development DACH,CloudHQ,Development & Real Estate,6/2026,STACK EMEA,Director Delivery Central
Damian Bolton-Pryor,Associate Director,Turner & Townsend,Pre-Construction & Cost,6/2026,Dharam Consulting,Associate
Katherine Jacobs,"Vice President, Asset Management & Development",American Real Estate Partners,Development & Real Estate,6/2026,AWS,"Real Estate Development Manager, AWS Data Center Supply Solutions"
José Luis Arnau,Commercial and Business Development Director,IREN,Sales & Leasing,6/2026,Nostrum Group,Chief Commercial Officer (CCO)
Joe Haar,Vice President of Sales,Vantage,Sales & Leasing,6/2026,Console Connect,Sales and Marketing Advisor
Luis Vega,"Director, Development",QTS Data Centers,Development & Real Estate,6/2026,Himes Associates,Sr Project Manager
Emily Benjamin,Construction Manager,Vantage,Construction & Delivery,6/2026,,
Kristin Aguilera,Director of Transactions,Legacy Investing,Development & Real Estate,6/2026,AWS,Real Estate Development Manager
Evan Pierce,Chief Development Officer,New Era Energy & Digital,Executive leadership,6/2026,EdgeConneX,"Vice President, Site Development & Energy Development, Americas"
Josh M.,MEP Pre-Construction Manager,McCarthy Building Companies,Pre-Construction & Cost,6/2026,,
Jennifer Reininger,Vice President of Development,CleanArc Data Centers,Development & Real Estate,6/2026,Data Center Coalition,Board Member DCC Board of Directors
Omar Medina,MEP Estimator II,Mortenson,Pre-Construction & Cost,6/2026,,
Thomas Blevins,"Assistant Estimator, Mission Critical",Suffolk Construction,Pre-Construction & Cost,6/2026,,
Dustin Dorph,Director of Development,Worldwide Mission Critical,Development & Real Estate,6/2026,AWS,Senior Real Estate Development Manager
Michael Solfelt,"Director, Preconstruction",Nscale,Pre-Construction & Cost,6/2026,Oracle,Principal Data Center Facilities Development Manager
Srinivasa Nookala,Head of Energy & Procurement,Panattoni,Energy & Utilities,6/2026,DN Capital,Managing Principal
Amina Dicko,Senior Construction Manager,Digital Realty,Construction & Delivery,6/2026,AWS,Construction Manager
Scott Grause,Construction Director,Digital Realty,Construction & Delivery,6/2026,Turner Construction,Senior Project Manager
Jordan Petkoski,Senior Consultant,Turner & Townsend,Pre-Construction & Cost,6/2026,Cumming,Senior Cost Manager
Peter Jones,Data Center Transactions & Leasing,Anthropic,Sales & Leasing,6/2026,Yondr,Co-Founder
Jenna de Hoop Scheffer,"Director, Site Strategy",STACK Infrastructure,"Strategy, Finance & Investment",6/2026,Google,"Data Center Strategic Negotiator, Site Acquisition and Development"
Parker Hanks,Regional Lead - Global Infrastructure - Data Center Acquisitions & Development,Google,Development & Real Estate,6/2026,Equinix,"Senior Director, Real Estate - Americas"
Michael Levine,Vice President of Construction,Prime Data Centers,Construction & Delivery,6/2026,,
Walker Olsen,Development Project Manager,QTS Data Centers,Development & Real Estate,6/2026,,
Patrick Sullivan,Project Manager,Swinerton,Construction & Delivery,6/2026,,
Keenan J.,Construction Manager,Vantage,Construction & Delivery,6/2026,,
Andi Lewis,Senior Estimator,Fransen Pittman Construction,Pre-Construction & Cost,6/2026,Mortenson,Estimator III
Marc Flores,Campus Development Manager,Digital Realty,Development & Real Estate,6/2026,,
Kevin Stoddard,Director of Preconstruction - Mission Critical,"Ryan Companies US, Inc.",Pre-Construction & Cost,6/2026,U S Engineering,Director Of Preconstruction
Todd Sauer,Vice President of Construction NA,Nscale,Construction & Delivery,6/2026,Yondr,Vice President Design & Construction Americas
Fernando Garza,Construction Project Manager,Prime Data Centers,Construction & Delivery,6/2026,,
Christina Mertens,Managing Director Europe,Virtus Data Centers,Executive leadership,6/2026,AWS,Infrastructure Country Manager Germany & Data Center Divest Lead EMEA
Jordan Lee,Senior Manager Program Cost,Beale,Pre-Construction & Cost,6/2026,,
Vineetha Gambhir,Data center - Capacity Planning & Deployment Strategy,Meta,"Strategy, Finance & Investment",6/2026,Cisco at JLL,Senior Director - JLL
Louis Braun,Director of TFO Construction,Prime Data Centers,Construction & Delivery,6/2026,,
Dustin Akers,(former) Data Center Development Manager,Meta,Development & Real Estate,6/2026,Sound Transit,"Senior Project Manager, Transit-Oriented Development"
William Manning - Marshall,Senior Development Manager,Beale,Development & Real Estate,6/2026,Amp Z,"Director, Site Development"
Robert Sutcliffe-Booth,Site Acquisition and Leasing Manager,AWS,Development & Real Estate,6/2026,DEPT®,Lead Technical Project Manager
John David Bertelson,Sr. Enterprise Investments Manager,QTS Data Centers,"Strategy, Finance & Investment",6/2026,Digital Realty,Senior Manager - Hyperscale Development & Leasing
Lee T.,"Vice President, Site Selection",KDC Real Estate Development & Investments,Development & Real Estate,6/2026,CyrusOne,Acquisition Manager
Grant Keith,Director Project Controls,Nscale,Construction & Delivery,5/2026,,
Gina Bettencourt,Construction Manager,Vantage,Construction & Delivery,5/2026,,
Jasmine Amo,Strategic Negotiator - Acquisitions and Development,Google,Development & Real Estate,5/2026,Arlington TX Economic Development,Economic Development Specialist
Ash Evans,Managing Director,Form8tion Data Centers,Executive leadership,5/2026,Google,Data Centre Development 
Lars Wichard,Data Center Site Selection and Development,Google,Development & Real Estate,5/2026,CBRE Investment Management,Europe Value-Add Fund Series
Veronica Castro,Director of Construction,STACK Infrastructure,Construction & Delivery,5/2026,,
Caroline Dr. Korch,Director EMEA Land Strategy,Microsoft,Development & Real Estate,5/2026,Dell Technologies,Director Global Real Estate
Graeme West,Senior Estimator,Hensel Phelps,Pre-Construction & Cost,5/2026,Gray,"Director, Pre-Construction Services"
Aashna Puri,VP Global Site Selection & Corporate Development,Iron Mountian,Development & Real Estate,5/2026,CyrusOne,Global Strategy & Market Expansion Director
Charnice Williams,VP of Construction,T5 Data Centers,Construction & Delivery,5/2026,,
Evan Jarvis,Development Manager,Corscale Data Centers,Development & Real Estate,5/2026,Patrinely Group,Project Manager
Brendan McCarthy,"SVP, Global Data Center Programs",Nscale,Construction & Delivery,5/2026,Oracle,"Vice President, Data Center Delivery"
Noelle Kruppa,Senior Construction Manager,Compass Datacenters,Construction & Delivery,5/2026,,
Robert Oconnor,Area Cost Lead,Google,Pre-Construction & Cost,5/2026,Microsoft,Cost Management Metro Lead - Data Center Construction
Colyer Rublein,"Vice President, Corporate Development",Yondr,"Strategy, Finance & Investment",5/2026,Equinix,"Director, Corporate Development - xScale"
Alexandre Ben Marzouk,"Senior Director, Customer Construction - North America",Vantage,Sales & Leasing,5/2026,,
Mark Carey,"Senior Project Manager, Pre Construction",Crusoe,Construction & Delivery,5/2026,Turner & Townsend,Project Director
Tiffini Waddell,"Manager, Project Manager - Community Engagement",QTS Data Centers,Construction & Delivery,5/2026,Crown Castle,Supervisor - Contract Development
Arthur Heldt,Director of Preconstruction,Howell Construction,Pre-Construction & Cost,5/2026,The Beck Group,Preconstruction Manager
Meghan Thomas,Senior Predevelopment Project Manager,QTS Data Centers,Development & Real Estate,5/2026,WBE Contractor,Construction Manager
Brandon Burgan,Sr Director Construction / TFO,Prime Data Centers,Construction & Delivery,5/2026,,
Anirudh Chandrasekaran,Area Cost Lead,Google,Pre-Construction & Cost,5/2026,,
Mickey Casanova,Regional Construction Cost Estimator,Google,Pre-Construction & Cost,5/2026,QTS Data Centers,Construction Cost & Data Center Projects
Jamie Allen,"Head of Site Selection, EMEA",Iron Mountian,Development & Real Estate,5/2026,STACK Infrastructure,"EMEA Vice President, DC Site Acquisition & Development"
Chris Harcourt,Project Manager - Development,QTS Data Centers,Development & Real Estate,5/2026,Turner & Townsend,Associate Director
Madison C.,Senior Development Project Manager,QTS Data Centers,Development & Real Estate,5/2026,,
Jeremy Borten,Senior Preconstruction Manager,The Christman Company,Pre-Construction & Cost,5/2026,Clark Construction Group,Project Manager
Chetan Agrawal,Preconstruction Manager,CloudHQ,Pre-Construction & Cost,5/2026,MGAC,Senior Project Control Manager
Tyler W.,Project Manager-Data Center Construction,Serverfarm,Construction & Delivery,4/2026,,
Travis Keene,Mgr. of Construction,AWS,Construction & Delivery,4/2026,Microsoft,Construction
Scott Graham,Senior Consultant,Turner & Townsend,Pre-Construction & Cost,4/2026,,
Jan Kelleter,Director of Construction,Serverfarm,Construction & Delivery,4/2026,,
Akash Mehta,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,Cumming,Senior Cost Manager
David Forester,"Director, Hyperscale and Retail Real Estate",Equinix,Development & Real Estate,4/2026,AWS,Real Estate Development
Mina Shamsoun,Senior Preconstruction Manager,The Weitz Company,Pre-Construction & Cost,4/2026,Orascom Construction Plc,Proposal Manager
Tyler Plecity,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,Tessiers,Preconstruction Leader
Michael K.,Director of Energy Strategy,Skybox Datacenters,Energy & Utilities,4/2026,Vantage,Principal Gas Planner
Mohana Slater,Preconstruction Manager,Digital Realty,Pre-Construction & Cost,4/2026,,
Jake Peliska,"Director, Cost Management",NTT,Pre-Construction & Cost,4/2026,MWH,Senior Project Controls Specialist
Mark Paterson,Vice President of Sales EMEA,Vantage,Sales & Leasing,4/2026,NTT,SVP Cloud & Security Sales EMEA
Ali Rahjoo,Senior Project Manager,Clune Construction Company,Construction & Delivery,4/2026,KADCON,Senior Project Manager
David Ameneyro,"Director, Real Estate & Acquisitions",AGP Sustainable Real Assets,Development & Real Estate,4/2026,AWS,"Lead, AMER-West Real Estate"
Kyle Reed,Program Manager,Google,Construction & Delivery,4/2026,,
James Wynne,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,E E Cruz & Company,Commercial Estimator/Field Engineer
Cody Muldner,Senior Development Project Manager,QTS Data Centers,Development & Real Estate,4/2026,,
Justin Newsome,"Director of Construction - NC,PA,NJ,NY",Digital Realty,Construction & Delivery,4/2026,Equinix,Senior Manager - Global Design and Construction
Ben Prock,(former) Director of Acquisitions and Development,Atmosphere Data Centers,Development & Real Estate,4/2026,Microsoft,Corporate Development (M&A) Analyst
Troy Bushman,Director of Development,Sun2o Partners,Development & Real Estate,4/2026,Rowan Digital Infrastructure,Director of Development
Rachel Nilsen,Construction Manager,Compass Datacenters,Construction & Delivery,4/2026,,
Victoria Tyson-Bloyd,Vice President Strategic Construction Initiatives,Vantage,Construction & Delivery,4/2026,Microsoft,"Global Director, EPC Integrated Business Planning"
Jonathan Rumsey,Vice President Development,Vantage,Development & Real Estate,4/2026,NTT,Senior Director Investment
Suresh Kumar,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,,
Michael L.,Electrical Preconstruction Manager,The Weitz Company,Pre-Construction & Cost,4/2026,Power Design,Project Manager- Data Centers
Ismael Saifan,"Senior Manager, Cost Controls",Rowan Digital Infrastructure,Pre-Construction & Cost,4/2026,CRB,Cost Control Manager
Leana Sossikian,Data Center Development Manager,Meta,Development & Real Estate,4/2026,Beale,"Manager, Data Center Development"
Rohit Chougule,Estimating Manager,McCarthy Building Companies,Pre-Construction & Cost,4/2026,,
Korey Adams,Project Manager,Prime Data Centers,Construction & Delivery,4/2026,,
Eric Tse,Campus Project Controls Manager,Crusoe,Construction & Delivery,4/2026,University of San Francisco,Adjunct Professor
Chris Henry,Director of Preconstruction,Adolfson & Peterson Construction,Pre-Construction & Cost,4/2026,I-Kota,"Preconstruction Manager, LEED:registered: AP"
Sarosh Siddiqui,Senior Construction Manager,Equinix,Construction & Delivery,4/2026,,
Alvaro Rivera,Sr.Director Business Development & Resources in Europe,DayOne,Sales & Leasing,4/2026,Box2Bit at Box2Bit,Managing Director
Armand Denette,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,Soben,Lead Estimator
Jason White,Construction Management,Vantage,Construction & Delivery,4/2026,,
Anthony Santelises,Infrastructure Acquisition & Strategy,Nebius,Development & Real Estate,4/2026,AWS,"Strategy and Investment, Data Center Supply Solutions"
Matthew Shield,Sub-Region Precon & Buyout Lead,Turner & Townsend,Pre-Construction & Cost,4/2026,,
Kevin Mokos,Land Development and Portfolio Management,Google,Development & Real Estate,4/2026,Red Hill Ventures,Development Director
Bryce Harling,Senior Cost Controls Manager,Crusoe,Pre-Construction & Cost,4/2026,,
Doug Mack,"Senior Director, Development and Real Estate",Atmosphere Data Centers,Development & Real Estate,4/2026,Irvine,"Senior Director, Capital Reinvestment"
Holly Bridges,Senior Construction Manager,Compass Datacenters,Construction & Delivery,4/2026,,
Javier Sifuentes,Senior Consultant · Cost Management & Estimating,Turner & Townsend,Pre-Construction & Cost,4/2026,,
Mike Eggert,Construction Manager,Vantage,Construction & Delivery,4/2026,,
Andrew Abbott,Head of Sales Germany,Equinix,Sales & Leasing,4/2026,TelecityRedbus,Account Manager
Chase Dunn,Director of Construction,Vantage,Construction & Delivery,4/2026,Lucid Motors,"Senior Manager, Construction"
Rebecca Waldo,Preconstruction Manager,Vantage,Pre-Construction & Cost,4/2026,Intermountain Electric,Project Manager
Ayushi Hajare,Associate Director,Turner & Townsend,Pre-Construction & Cost,4/2026,Gardiner & Theobald,Assistant Cost Manager
Nichole Turner,Senior Development Project Manager,QTS Data Centers,Development & Real Estate,4/2026,,
Daniel Erickson,Project Preconstruction Manager,Turner Construction,Pre-Construction & Cost,4/2026,Kiewit,Project Engineer
Yassine Houl,"Senior Director, Construction",Vantage,Construction & Delivery,4/2026,QTS Data Centers,Senior Development Program Manager
AJ Riley,Development Project Manager,QTS Data Centers,Development & Real Estate,4/2026,,
Patrick Griffin,"Sr Real Estate Development Manager, Data Center Supply Solutions",AWS,Development & Real Estate,4/2026,Grid,"Principal, Real Estate & Site Development (BESS • EV Charging • Data Centers • Solar, Wireless)"
Justin Hu,Site Selection Manager - Strategic Acquisitions,Meta,Development & Real Estate,4/2026,SummerHill Apartment Communities,Development Manager
Sarah Stodter Whitney,Data Center Site Selection Manager,Meta,Development & Real Estate,4/2026,Google,Regional Lead (West + LatAm) Data Center Acquisitions & Development
Mike Styring,Sales Director Key Account,Stellanor Datacentres,Sales & Leasing,4/2026,None,Resting
Chris Irwin,Principal Land Acquisition Manager,Microsoft,Development & Real Estate,4/2026,Google,"Site Negotiator, Data Center Acquisitions & Development"
Ryan Wehmann,Director of Development,Equinix,Development & Real Estate,4/2026,QTS Data Centers,Sr. Development Program Manager
Yabtsiega Hayba,Construction Manager,Vantage,Construction & Delivery,4/2026,,
Andrea (Mata) Stahlschmidt,Senior Consultant - Cost Manager,Turner & Townsend,Pre-Construction & Cost,3/2026,,
Ryan Mack,Senior Design Phase Manager I,Mortenson,Design & Engineering,3/2026,Suffolk Construction,"Senior Project Manager, Mission Critical"
Blake Ashbrook,Senior Construction Manager,Vantage,Construction & Delivery,3/2026,,
"DL ""Bam"" Bennett",Sr Construction Project Manager,STACK Infrastructure,Construction & Delivery,3/2026,,
Matt Monaco,Vice President - Asset Management,CyrusOne,"Strategy, Finance & Investment",3/2026,PowerHouse Data Centers,"Senior Vice President, Asset Management & Development"
Vincenzo Basile,"Director, Construction",Vantage,Construction & Delivery,3/2026,CBRE,Senior Project Manager
Chad Reichhold,Senior Construction Project Manager,Vantage,Construction & Delivery,3/2026,,
Sindhu Rao,Construction Project Manager,Equinix,Construction & Delivery,3/2026,,
Iain Schlenkermann,Senior Construction Manager,Corscale Data Centers,Construction & Delivery,3/2026,,
Vanessa Kennedy,Principal - Real Estate Development Manager,AWS,Development & Real Estate,3/2026,STACK Infrastructure,VP of Strategy
Gregory Duncan,"Director, Pre-Construction - Data Centers",Gray Construction,Pre-Construction & Cost,3/2026,,
Elizabeth Schuelke,Construction Services Procurement Manager,QTS Data Centers,Construction & Delivery,3/2026,,
Andre Lacerda,Estimating Manager,Kiewit,Pre-Construction & Cost,3/2026,Turner Construction,Estimator
Nathan Chen,Senior Cost Controls Manager,Crusoe,Pre-Construction & Cost,3/2026,,
Curtis Miller,Director of Development,RadiusDC,Development & Real Estate,3/2026,Headwaters Site Development,Senior Project Development Manager
Jonathan McGowan,Associate Director,Turner & Townsend,Pre-Construction & Cost,3/2026,Cumming,Senior Cost Manager
Matthew Baker,"Director, Construction, North America",Vantage,Construction & Delivery,3/2026,,
Calvin Gutheridge,Design Phase Manager II - Data Center Solutions G+,Mortenson,Design & Engineering,3/2026,Lease Crutcher Lewis,MEP Manager - Data Centers and Advanced Technology
Tyler Powell,Director of Construction,CyrusOne,Construction & Delivery,3/2026,,
Jamie Cumming,Head of Site Selection,Ferrovial,Development & Real Estate,3/2026,AtlasEdge,Site Selection Director
Matthew Bourne,Site Selection - Leasing,Meta,Development & Real Estate,3/2026,Microsoft,Director - Data Center Acquisition
Nathan Shriver,Senior Director of Development,Rowan Digital Infrastructure,Development & Real Estate,3/2026,The X Company,Director of Development
Andrew Hilgerson,Construction Manager,Vantage,Construction & Delivery,3/2026,,
Dimitri Lorentzos,Associate Director,Turner & Townsend,Pre-Construction & Cost,3/2026,ARCADIS US,Project Control Specialist
Paul Rogers,"Director, Construction",Vantage,Construction & Delivery,3/2026,Abbott,"Manager, Project Engineering"
Davis Elridge,Design Phase Manager II,Mortenson,Design & Engineering,3/2026,,
Braxton Vinson,Large Projects - Project Controls Leader,DPR Construction,Construction & Delivery,3/2026,Scott Long Construction,Project Engineering Intern
Audrey Copeland,Founder,Infrawatt Development,Executive leadership,3/2026,Compass Datacenters,VP of Power Development
Dillon Kaup,Senior Preconstruction Manager,Vantage,Pre-Construction & Cost,3/2026,OCMI,Senior Cost Estimator
Maureen Henry,Director of Site Construction,Yondr,Construction & Delivery,3/2026,,
Stephen Dixon,Senior Preconstruction Manager,Barton Malow,Pre-Construction & Cost,3/2026,HITT Contracting,Preconstruction Manager
Christopher Guilcapi,Data Center Cost Control Program Manager,Google,Pre-Construction & Cost,3/2026,,
Andrew Burke,Senior Director of Project Development,Hanwha Data Centers,Development & Real Estate,3/2026,Hanwha Energy USA (174 Power Global),Senior Director of Project Development
Sakeenah Fontenot,Senior Consultant,Turner & Townsend,Pre-Construction & Cost,3/2026,,
