function,from_tier,moves
Construction & Delivery,Outside the industry · other,29
Construction & Delivery,General contractor,23
Construction & Delivery,Data Center Developer / Operator,21
Construction & Delivery,Hyperscaler,19
Construction & Delivery,Outside the industry · construction (untracked),9
Construction & Delivery,NeoCloud / AI Infra,3
Construction & Delivery,Outside the industry · telecom & network,3
Construction & Delivery,Outside the industry · brokerage & advisory,3
Construction & Delivery,Civil / land engineering,2
Construction & Delivery,Outside the industry · consultancy & engineering,2
Construction & Delivery,Energy developer / utility,1
Construction & Delivery,Outside the industry · data centers (untracked operator),1
Construction & Delivery,Outside the industry · technology,1
Construction & Delivery,Outside the industry · finance & investment,1
Construction & Delivery,Outside the industry · government & military,1
Design & Engineering,Outside the industry · other,8
Design & Engineering,Investor,5
Design & Engineering,Data Center Developer / Operator,4
Design & Engineering,Hyperscaler,4
Design & Engineering,General contractor,3
Design & Engineering,Civil / land engineering,3
Design & Engineering,Outside the industry · construction (untracked),2
Design & Engineering,Outside the industry · finance & investment,1
Design & Engineering,Outside the industry · data centers (untracked operator),1
Development & Real Estate,Outside the industry · other,206
Development & Real Estate,Data Center Developer / Operator,89
Development & Real Estate,Hyperscaler,74
Development & Real Estate,Outside the industry · brokerage & advisory,25
Development & Real Estate,Outside the industry · finance & investment,24
Development & Real Estate,General contractor,20
Development & Real Estate,Outside the industry · consultancy & engineering,13
Development & Real Estate,Outside the industry · telecom & network,10
Development & Real Estate,Investor,10
Development & Real Estate,Real estate & industrial developer,10
Development & Real Estate,Civil / land engineering,10
Development & Real Estate,Outside the industry · data centers (untracked operator),9
Development & Real Estate,Outside the industry · technology,8
Development & Real Estate,Outside the industry · construction (untracked),6
Development & Real Estate,Outside the industry · energy & utilities (untracked),4
Development & Real Estate,Energy developer / utility,4
Development & Real Estate,Outside the industry · government & military,1
Development & Real Estate,NeoCloud / AI Infra,1
Energy & Utilities,Outside the industry · other,82
Energy & Utilities,Energy developer / utility,24
Energy & Utilities,Outside the industry · energy & utilities (untracked),23
Energy & Utilities,Hyperscaler,20
Energy & Utilities,Data Center Developer / Operator,20
Energy & Utilities,Outside the industry · finance & investment,4
Energy & Utilities,Investor,3
Energy & Utilities,Outside the industry · technology,3
Energy & Utilities,Outside the industry · consultancy & engineering,3
Energy & Utilities,Outside the industry · brokerage & advisory,2
Energy & Utilities,General contractor,1
Energy & Utilities,Outside the industry · telecom & network,1
Energy & Utilities,Civil / land engineering,1
Executive leadership,Data Center Developer / Operator,24
Executive leadership,Outside the industry · other,19
Executive leadership,Hyperscaler,3
Executive leadership,Investor,3
Executive leadership,Outside the industry · data centers (untracked operator),3
Executive leadership,General contractor,2
Executive leadership,Outside the industry · brokerage & advisory,2
Executive leadership,Outside the industry · finance & investment,2
Executive leadership,Outside the industry · telecom & network,1
Executive leadership,Outside the industry · energy & utilities (untracked),1
Executive leadership,Outside the industry · construction (untracked),1
Executive leadership,Energy developer / utility,1
"Legal, People & Support",Outside the industry · other,1
"Legal, People & Support",Outside the industry · construction (untracked),1
Miscellaneous,Data Center Developer / Operator,1
Miscellaneous,Hyperscaler,1
Operations & Facilities,Hyperscaler,1
Operations & Facilities,Data Center Developer / Operator,1
Operations & Facilities,Investor,1
Operations & Facilities,Outside the industry · other,1
Pre-Construction & Cost,Outside the industry · other,103
Pre-Construction & Cost,General contractor,74
Pre-Construction & Cost,Outside the industry · construction (untracked),39
Pre-Construction & Cost,Outside the industry · consultancy & engineering,24
Pre-Construction & Cost,Hyperscaler,10
Pre-Construction & Cost,Data Center Developer / Operator,8
Pre-Construction & Cost,Civil / land engineering,6
Pre-Construction & Cost,Investor,4
Pre-Construction & Cost,Real estate & industrial developer,2
Pre-Construction & Cost,Outside the industry · finance & investment,2
Pre-Construction & Cost,NeoCloud / AI Infra,1
Pre-Construction & Cost,Outside the industry · telecom & network,1
Pre-Construction & Cost,Outside the industry · brokerage & advisory,1
Pre-Construction & Cost,Outside the industry · government & military,1
Sales & Leasing,Outside the industry · other,126
Sales & Leasing,Data Center Developer / Operator,99
Sales & Leasing,Outside the industry · telecom & network,24
Sales & Leasing,Hyperscaler,18
Sales & Leasing,Outside the industry · brokerage & advisory,14
Sales & Leasing,Outside the industry · data centers (untracked operator),13
Sales & Leasing,Outside the industry · technology,9
Sales & Leasing,Outside the industry · finance & investment,2
Sales & Leasing,Investor,2
Sales & Leasing,Outside the industry · government & military,1
Sales & Leasing,Civil / land engineering,1
"Strategy, Finance & Investment",Outside the industry · other,7
"Strategy, Finance & Investment",Data Center Developer / Operator,7
"Strategy, Finance & Investment",Investor,4
"Strategy, Finance & Investment",Hyperscaler,3
"Strategy, Finance & Investment",Outside the industry · finance & investment,1
"Strategy, Finance & Investment",Outside the industry · consultancy & engineering,1
"Strategy, Finance & Investment",Outside the industry · brokerage & advisory,1
